Class	Sex	Age	Survived
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	yes
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	male	adult	no
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
